Number;FieldOfResearch;Level;LevelA_Number;LevelA_FieldOfResearch;LevelB_Number;LevelB_FieldOfResearch;FieldOfResearchVersion;Level1_Number;Level1_Discipline;Level2_Number;Level2_Discipline;Level3_Number;Level3_Discipline
4204;Midwifery;2;42;Health Sciences;4204;Midwifery;ANZSRC 2020;10000;Humanities and Social Sciences;10600;Sociology, social work, political sciences, media and communication studies, health;10602;Health
4407;Policy and administration;2;44;Human Society;4407;Policy and administration;ANZSRC 2020;10000;Humanities and Social Sciences;NA;NA;NA;NA
3899;Other economics;2;38;Economics;3899;Other economics;ANZSRC 2020;10000;Humanities and Social Sciences;10700;Economics, law;NA;NA
4205;Nursing;2;42;Health Sciences;4205;Nursing;ANZSRC 2020;10000;Humanities and Social Sciences;10600;Sociology, social work, political sciences, media and communication studies, health;10602;Health
4901;Applied mathematics;2;49;Mathematical Sciences;4901;Applied mathematics;ANZSRC 2020;20000;Mathematics, Natural- and Engineering Sciences;20100;Mathematics;NA;NA
3704;Geoinformatics;2;37;Earth Sciences;3704;Geoinformatics;ANZSRC 2020;20000;Mathematics, Natural- and Engineering Sciences;20800;Earth Sciences;NA;NA
4402;Criminology;2;44;Human Society;4402;Criminology;ANZSRC 2020;10000;Humanities and Social Sciences;10600;Sociology, social work, political sciences, media and communication studies, health;NA;NA
32;Biomedical and Clinical Sciences;1;32;Biomedical and Clinical Sciences;NA;NA;ANZSRC 2020;30000;Biology and Medicine;NA;NA;NA;NA
3215;Reproductive medicine;2;32;Biomedical and Clinical Sciences;3215;Reproductive medicine;ANZSRC 2020;30000;Biology and Medicine;30700;Clinical Medicine;30706;Gynaecology
3209;Neurosciences;2;32;Biomedical and Clinical Sciences;3209;Neurosciences;ANZSRC 2020;30000;Biology and Medicine;NA;NA;NA;NA
3105;Genetics;2;31;Biological Sciences;3105;Genetics;ANZSRC 2020;30000;Biology and Medicine;30100;Basic Biological Research;30104;Genetics
4302;Heritage, archive and museum studies;2;43;History, Heritage and Archaeology;4302;Heritage, archive and museum studies;ANZSRC 2020;10000;Humanities and Social Sciences;10100;Theology & religious studies, history, classical studies, archaeology, prehistory and early history;NA;NA
4609;Information systems;2;46;Information and Computing Sciences;4609;Information systems;ANZSRC 2020;20000;Mathematics, Natural- and Engineering Sciences;20500;Engineering Sciences;20506;Information Technology
3709;Physical geography and environmental geoscience;2;37;Earth Sciences;3709;Physical geography and environmental geoscience;ANZSRC 2020;20000;Mathematics, Natural- and Engineering Sciences;NA;NA;NA;NA
4608;Human-centred computing;2;46;Information and Computing Sciences;4608;Human-centred computing;ANZSRC 2020;20000;Mathematics, Natural- and Engineering Sciences;20500;Engineering Sciences;20506;Information Technology
44;Human Society;1;44;Human Society;NA;NA;ANZSRC 2020;10000;Humanities and Social Sciences;10600;Sociology, social work, political sciences, media and communication studies, health;NA;NA
4401;Anthropology;2;44;Human Society;4401;Anthropology;ANZSRC 2020;10000;Humanities and Social Sciences;NA;NA;NA;NA
4899;Other law and legal studies;2;48;Law and Legal Studies;4899;Other law and legal studies;ANZSRC 2020;10000;Humanities and Social Sciences;10700;Economics, law;NA;NA
3407;Theoretical and computational chemistry;2;34;Chemical Sciences;3407;Theoretical and computational chemistry;ANZSRC 2020;20000;Mathematics, Natural- and Engineering Sciences;20300;Chemistry;NA;NA
3102;Bioinformatics and computational biology;2;31;Biological Sciences;3102;Bioinformatics and computational biology;ANZSRC 2020;30000;Biology and Medicine;30100;Basic Biological Research;NA;NA
3001;Agricultural biotechnology;2;30;Agricultural, Veterinary and Food Sciences;3001;Agricultural biotechnology;ANZSRC 2020;20000;Mathematics, Natural- and Engineering Sciences;20500;Engineering Sciences;20509;Agricultural Engineering
4705;Literary studies;2;47;Language, Communication and Culture;4705;Literary studies;ANZSRC 2020;10000;Humanities and Social Sciences;10200;Linguistics and literature, philosophy;NA;NA
3999;Other education;2;39;Education;3999;Other education;ANZSRC 2020;10000;Humanities and Social Sciences;10500;Psychology, educational studies;NA;NA
39;Education;1;39;Education;NA;NA;ANZSRC 2020;10000;Humanities and Social Sciences;10500;Psychology, educational studies;NA;NA
3504;Commercial services;2;35;Commerce, Management, Tourism and Services;3504;Commercial services;ANZSRC 2020;10000;Humanities and Social Sciences;10700;Economics, law;NA;NA
4410;Sociology;2;44;Human Society;4410;Sociology;ANZSRC 2020;10000;Humanities and Social Sciences;10600;Sociology, social work, political sciences, media and communication studies, health;10201;Sociology
3103;Ecology;2;31;Biological Sciences;3103;Ecology;ANZSRC 2020;30000;Biology and Medicine;30200;General Biology;30207;Ecology
52;Psychology;1;52;Psychology;NA;NA;ANZSRC 2020;10000;Humanities and Social Sciences;10500;Psychology, educational studies;10105;Psychology
3003;Animal production;2;30;Agricultural, Veterinary and Food Sciences;3003;Animal production;ANZSRC 2020;30000;Biology and Medicine;30200;General Biology;30209;Animal Breeding
4006;Communications engineering;2;40;Engineering;4006;Communications engineering;ANZSRC 2020;20000;Mathematics, Natural- and Engineering Sciences;20500;Engineering Sciences;20506;Information Technology
4704;Linguistics;2;47;Language, Communication and Culture;4704;Linguistics;ANZSRC 2020;10000;Humanities and Social Sciences;10200;Linguistics and literature, philosophy;NA;NA
4017;Mechanical engineering;2;40;Engineering;4017;Mechanical engineering;ANZSRC 2020;20000;Mathematics, Natural- and Engineering Sciences;20500;Engineering Sciences;20502;Mechanical Engineering
5104;Condensed matter physics;2;51;Physical Sciences;5104;Condensed matter physics;ANZSRC 2020;20000;Mathematics, Natural- and Engineering Sciences;20400;Physics;20404;Condensed Matter Physics
3799;Other earth sciences;2;37;Earth Sciences;3799;Other earth sciences;ANZSRC 2020;20000;Mathematics, Natural- and Engineering Sciences;20800;Earth Sciences;20809;Other disciplines of Earth Sciences
50;Philosophy and Religious Studies;1;50;Philosophy and Religious Studies;NA;NA;ANZSRC 2020;10000;Humanities and Social Sciences;10100;Theology & religious studies, history, classical studies, archaeology, prehistory and early history;NA;NA
3604;Performing arts;2;36;Creative Arts and Writing;3604;Performing arts;ANZSRC 2020;10000;Humanities and Social Sciences;10300;Art studies, musicology, theatre and film studies, architecture;NA;NA
3703;Geochemistry;2;37;Earth Sciences;3703;Geochemistry;ANZSRC 2020;20000;Mathematics, Natural- and Engineering Sciences;20800;Earth Sciences;20803;Geochemistry
4605;Data management and data science;2;46;Information and Computing Sciences;4605;Data management and data science;ANZSRC 2020;20000;Mathematics, Natural- and Engineering Sciences;20500;Engineering Sciences;20506;Information Technology
42;Health Sciences;1;42;Health Sciences;NA;NA;ANZSRC 2020;30000;Biology and Medicine;NA;NA;NA;NA
31;Biological Sciences;1;31;Biological Sciences;NA;NA;ANZSRC 2020;30000;Biology and Medicine;30200;General Biology;NA;NA
3603;Music;2;36;Creative Arts and Writing;3603;Music;ANZSRC 2020;10000;Humanities and Social Sciences;10300;Art studies, musicology, theatre and film studies, architecture;10405;Musicology
3009;Veterinary sciences;2;30;Agricultural, Veterinary and Food Sciences;3009;Veterinary sciences;ANZSRC 2020;30000;Biology and Medicine;30700;Clinical Medicine;30713;Veterinary Medicine
3302;Building;2;33;Built Environment and Design;3302;Building;ANZSRC 2020;10000;Humanities and Social Sciences;10300;Art studies, musicology, theatre and film studies, architecture;10407;Architecture and Social urban science
3601;Art history, theory and criticism;2;36;Creative Arts and Writing;3601;Art history, theory and criticism;ANZSRC 2020;10000;Humanities and Social Sciences;10300;Art studies, musicology, theatre and film studies, architecture;10404;Visual arts and Art history
4606;Distributed computing and systems software;2;46;Information and Computing Sciences;4606;Distributed computing and systems software;ANZSRC 2020;20000;Mathematics, Natural- and Engineering Sciences;20500;Engineering Sciences;20506;Information Technology
4103;Environmental biotechnology;2;41;Environmental Sciences;4103;Environmental biotechnology;ANZSRC 2020;20000;Mathematics, Natural- and Engineering Sciences;20500;Engineering Sciences;20511;Other disciplines of Engineering Sciences
3699;Other creative arts and writing;2;36;Creative Arts and Writing;3699;Other creative arts and writing;ANZSRC 2020;10000;Humanities and Social Sciences;10300;Art studies, musicology, theatre and film studies, architecture;NA;NA
